Tip83	1	0.500796	1.26544
Tip83	2	0.272981	1.79152
Tip83	3	-0.315387	2.13838
Tip83	4	-0.879567	2.15539
Tip83	5	-1.40724	1.71171
Tip83	6	-1.63238	1.14497
Tip83	7	-1.46455	0.549911
Tip83	8	-0.975797	0.229761
Tip83	9	-0.304623	0.335714
Tip83	10	0.30644	0.757911
Tip42	1	0.51361	0.578487
Tip42	2	0.35365	1.15415
Tip42	3	-0.134286	1.56133
Tip42	4	-0.7582	1.60577
Tip42	5	-1.30328	1.34782
Tip42	6	-1.50946	0.874155
Tip42	7	-1.32128	0.27214
Tip42	8	-0.816751	-0.178962
Tip42	9	-0.201764	-0.238147
Tip42	10	0.346484	0.0870883
Tip29	1	2.13776	0.948923
Tip29	2	1.95618	1.54043
Tip29	3	1.47564	1.91827
Tip29	4	0.733638	1.97809
Tip29	5	0.087578	1.74777
Tip29	6	-0.11554	1.21949
Tip29	7	0.0119393	0.578533
Tip29	8	0.544029	0.141921
Tip29	9	1.23646	0.0930152
Tip29	10	1.87542	0.446166
Tip39	1	2.01315	1.00794
Tip39	2	1.81908	1.63143
Tip39	3	1.31156	2.00785
Tip39	4	0.565254	2.04425
Tip39	5	-0.0853578	1.80868
Tip39	6	-0.269158	1.29793
Tip39	7	-0.121728	0.650497
Tip39	8	0.424621	0.207495
Tip39	9	1.11882	0.14789
Tip39	10	1.74881	0.482758
Tip38	1	1.45705	-0.492025
Tip38	2	1.1841	-0.0101415
Tip38	3	0.625164	0.465099
Tip38	4	-0.135709	0.629608
Tip38	5	-0.84172	0.308757
Tip38	6	-1.09602	-0.427016
Tip38	7	-0.950031	-1.06129
Tip38	8	-0.36689	-1.47157
Tip38	9	0.43496	-1.48163
Tip38	10	1.23396	-0.995697
Tip102	1	0.758338	-0.840291
Tip102	2	0.499139	-0.334462
Tip102	3	-0.0565859	0.10979
Tip102	4	-0.752119	0.16865
Tip102	5	-1.38886	-0.0796477
Tip102	6	-1.66294	-0.754012
Tip102	7	-1.53691	-1.42348
Tip102	8	-1.02607	-1.8843
Tip102	9	-0.278832	-1.83028
Tip102	10	0.507391	-1.38484
Tip82	1	-0.140316	0.877485
Tip82	2	-0.338794	1.35159
Tip82	3	-0.868137	1.78696
Tip82	4	-1.61658	1.93603
Tip82	5	-2.15411	1.77328
Tip82	6	-2.20079	1.18805
Tip82	7	-1.89229	0.627494
Tip82	8	-1.32004	0.101752
Tip82	9	-0.77786	0.231926
Tip82	10	-0.277904	0.43652
Tip109	1	-1.4085	1.93979
Tip109	2	-1.56558	2.37513
Tip109	3	-1.99295	2.81748
Tip109	4	-2.60252	3.01003
Tip109	5	-3.08206	2.88855
Tip109	6	-3.16472	2.33246
Tip109	7	-2.96892	1.81598
Tip109	8	-2.52316	1.29719
Tip109	9	-2.03753	1.407
Tip109	10	-1.55952	1.55556
Tip43	1	-0.845707	0.13218
Tip43	2	-1.09293	0.768737
